parent_position_id,protocol,market_id,wallet,chain,side,token_symbol,token_category,balance_human,price_usd,price_source,value_usd
ethereum_morpho_0xa33e1f_syrupUSDC_D_collateral,morpho,0xab3196447663a41382ba4b4d55eab3fa702ee2cf071db224fd72492953040056,0xa33e1f748754d2d624638ab335100d92fcbe62a2,ethereum,collateral,syrupUSDC,A2,483000,1.15707136,pyth,558865.46688000
ethereum_morpho_0xa33e1f_AUSD_D_debt,morpho,0xab3196447663a41382ba4b4d55eab3fa702ee2cf071db224fd72492953040056,0xa33e1f748754d2d624638ab335100d92fcbe62a2,ethereum,debt,AUSD,E,-450761.286969,1,par,-450761.286969
ethereum_morpho_0xa33e1f_syrupUSDC_D_collateral,morpho,0xc0ae375fd761ff19b3f04de5534c0f1ec110f80e1c2ede27c42c1c43c3040394,0xa33e1f748754d2d624638ab335100d92fcbe62a2,ethereum,collateral,syrupUSDC,A2,267000,1.15707136,pyth,308938.05312000
ethereum_morpho_0xa33e1f_RLUSD_D_debt,morpho,0xc0ae375fd761ff19b3f04de5534c0f1ec110f80e1c2ede27c42c1c43c3040394,0xa33e1f748754d2d624638ab335100d92fcbe62a2,ethereum,debt,RLUSD,E,-250364.282179200806064564,1.00,par,-250364.28217920080606456400
ethereum_aave_0x805599_horizon_atoken_uscc_D_collateral,aave,,0x80559941c1a741bc435cb6782b6f161d5772ac4b,ethereum,collateral,horizon_atoken_uscc,D,176844.630252,11.52481800,pyth,2038102.17793159413600
ethereum_aave_0x805599_horizon_vdebt_rlusd_D_debt,aave,,0x80559941c1a741bc435cb6782b6f161d5772ac4b,ethereum,debt,horizon_vdebt_rlusd,D,-1624240.309236718705483322,1.00,par,-1624240.30923671870548332200
arbitrum_morpho_0xa33e1f_syrupUSDC_D_collateral,morpho,0x571cb3ac535d61d92026c071ef1df4794d0bbbe1755f916ff640746f81b52af4,0xa33e1f748754d2d624638ab335100d92fcbe62a2,arbitrum,collateral,syrupUSDC,A2,12583569.106029,1.15707136,pyth,14560087.41916695922944
arbitrum_morpho_0xa33e1f_USDT0_D_debt,morpho,0x571cb3ac535d61d92026c071ef1df4794d0bbbe1755f916ff640746f81b52af4,0xa33e1f748754d2d624638ab335100d92fcbe62a2,arbitrum,debt,USDT0,E,-11857384.561417,0.99922561,chainlink,-11848202.32138648428937
base_aave_0xa33e1f_atoken_syrupusdc_D_collateral,aave,,0xa33e1f748754d2d624638ab335100d92fcbe62a2,base,collateral,atoken_syrupusdc,D,25,1.15707136,pyth,28.92678400
plasma_aave_0x669100_atoken_usde_D_collateral,aave,,0x6691005cd97656d488b72594c42cae987264e0e7,plasma,collateral,atoken_usde,D,0.005890646374828394,0.999197,coingecko,0.005885916185789406799618
plasma_aave_0x669100_atoken_susde_D_collateral,aave,,0x6691005cd97656d488b72594c42cae987264e0e7,plasma,collateral,atoken_susde,D,1.2775E-14,1.225146152475120291,a1_convertToAssets (rate=1.225146),1.5651242097869661717525E-14
solana_kamino_ASQ4kYjS_USCC_D_collateral,kamino,,ASQ4kYjSYGUYbbYtsaLhUeJS6RtrN4Uwp4XbF4gDifvr,solana,collateral,USCC,A2,737993.935158,11.52481800,pyth,8505245.78779975124400
solana_kamino_ASQ4kYjS_USDC_D_debt,kamino,,ASQ4kYjSYGUYbbYtsaLhUeJS6RtrN4Uwp4XbF4gDifvr,solana,debt,USDC,E,-6781179.399293046983672742108,1,par,-6781179.399293046983672742108
solana_kamino_ASQ4kYjS_PT-USX-01JUN26_D_collateral,kamino,,ASQ4kYjSYGUYbbYtsaLhUeJS6RtrN4Uwp4XbF4gDifvr,solana,collateral,PT-USX-01JUN26,B,1802168.47245,0,pt_collateral_see_B_lots,0
solana_kamino_ASQ4kYjS_PT-eUSX-01JUN26_D_collateral,kamino,,ASQ4kYjSYGUYbbYtsaLhUeJS6RtrN4Uwp4XbF4gDifvr,solana,collateral,PT-eUSX-01JUN26,B,77839.861427,0,pt_collateral_see_B_lots,0
solana_kamino_ASQ4kYjS_USX_D_debt,kamino,,ASQ4kYjSYGUYbbYtsaLhUeJS6RtrN4Uwp4XbF4gDifvr,solana,debt,USX,E,-1346462.939833268609800735635,1.00568401,pyth,-1354116.248647910306911529114
